candidate_id,candidate_name,facet,is_critical
S01,Aster One,accuracy,True
S01,Aster One,calibration,True
S01,Aster One,operating_range,True
S01,Aster One,data_export,False
S01,Aster One,maintenance,False
S02,Birch Pro,accuracy,True
S02,Birch Pro,calibration,True
S02,Birch Pro,operating_range,True
S02,Birch Pro,data_export,False
S02,Birch Pro,maintenance,False
S03,Cedar Mini,accuracy,True
S03,Cedar Mini,calibration,True
S03,Cedar Mini,operating_range,True
S03,Cedar Mini,data_export,False
S03,Cedar Mini,maintenance,False
S04,Dune S,accuracy,True
S04,Dune S,calibration,True
S04,Dune S,operating_range,True
S04,Dune S,data_export,False
S04,Dune S,maintenance,False
S05,Elm Edge,accuracy,True
S05,Elm Edge,calibration,True
S05,Elm Edge,operating_range,True
S05,Elm Edge,data_export,False
S05,Elm Edge,maintenance,False
S06,Fir Lite,accuracy,True
S06,Fir Lite,calibration,True
S06,Fir Lite,operating_range,True
S06,Fir Lite,data_export,False
S06,Fir Lite,maintenance,False
